"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-03-04,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-04,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-04,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-04,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-05,"BC","All","All",5,1.43
2020-03-05,"BC","Fraser","All",1,0.29
2020-03-05,"BC","Fraser","Fraser East",0,0
2020-03-05,"BC","Fraser","Fraser North",0,0.14
2020-03-05,"BC","Fraser","Fraser South",1,0.14
2020-03-05,"BC","Fraser","Unknown",0,0
2020-03-05,"BC","Interior","All",0,0
2020-03-05,"BC","Interior","East Kootenay",0,0
2020-03-05,"BC","Interior","Kootenay Boundary",0,0
2020-03-05,"BC","Interior","Okanagan",0,0
2020-03-05,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-05,"BC","Northern","All",0,0
2020-03-05,"BC","Northern","Northeast",0,0
2020-03-05,"BC","Northern","Northern Interior",0,0
2020-03-05,"BC","Northern","Northwest",0,0
2020-03-05,"BC","Northern","Unknown",0,0
2020-03-05,"BC","Vancouver Coastal","All",4,1.14
2020-03-05,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,0.43
2020-03-05,"BC","Vancouver Coastal","Richmond",0,0
2020-03-05,"BC","Vancouver Coastal","Unknown",0,0
2020-03-05,"BC","Vancouver Coastal","Vancouver",2,0.71
2020-03-05,"BC","Vancouver Island","All",0,0
2020-03-05,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-05,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-05,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-05,"Out of Canada","Out of Canada","Out of Canada",3,0.43
2020-03-06,"BC","All","All",7,2.43
2020-03-06,"BC","Fraser","All",4,0.86
2020-03-06,"BC","Fraser","Fraser East",0,0
2020-03-06,"BC","Fraser","Fraser North",2,0.43
2020-03-06,"BC","Fraser","Fraser South",2,0.43
2020-03-06,"BC","Fraser","Unknown",0,0
2020-03-06,"BC","Interior","All",0,0
2020-03-06,"BC","Interior","East Kootenay",0,0
2020-03-06,"BC","Interior","Kootenay Boundary",0,0
2020-03-06,"BC","Interior","Okanagan",0,0
2020-03-06,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-06,"BC","Northern","All",0,0
2020-03-06,"BC","Northern","Northeast",0,0
2020-03-06,"BC","Northern","Northern Interior",0,0
2020-03-06,"BC","Northern","Northwest",0,0
2020-03-06,"BC","Northern","Unknown",0,0
2020-03-06,"BC","Vancouver Coastal","All",3,1.57
2020-03-06,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",3,0.86
2020-03-06,"BC","Vancouver Coastal","Richmond",0,0
2020-03-06,"BC","Vancouver Coastal","Unknown",0,0
2020-03-06,"BC","Vancouver Coastal","Vancouver",0,0.71
2020-03-06,"BC","Vancouver Island","All",0,0
2020-03-06,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-06,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-06,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-06,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-03-07,"BC","All","All",1,2.57
2020-03-07,"BC","Fraser","All",0,0.86
2020-03-07,"BC","Fraser","Fraser East",0,0
2020-03-07,"BC","Fraser","Fraser North",0,0.43
2020-03-07,"BC","Fraser","Fraser South",0,0.43
2020-03-07,"BC","Fraser","Unknown",0,0
2020-03-07,"BC","Interior","All",0,0
2020-03-07,"BC","Interior","East Kootenay",0,0
2020-03-07,"BC","Interior","Kootenay Boundary",0,0
2020-03-07,"BC","Interior","Okanagan",0,0
2020-03-07,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-07,"BC","Northern","All",0,0
2020-03-07,"BC","Northern","Northeast",0,0
2020-03-07,"BC","Northern","Northern Interior",0,0
2020-03-07,"BC","Northern","Northwest",0,0
2020-03-07,"BC","Northern","Unknown",0,0
2020-03-07,"BC","Vancouver Coastal","All",1,1.71
2020-03-07,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.86
2020-03-07,"BC","Vancouver Coastal","Richmond",0,0
2020-03-07,"BC","Vancouver Coastal","Unknown",0,0
2020-03-07,"BC","Vancouver Coastal","Vancouver",1,0.86
2020-03-07,"BC","Vancouver Island","All",0,0
2020-03-07,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-07,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-07,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-07,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-03-08,"BC","All","All",4,3.14
2020-03-08,"BC","Fraser","All",3,1.29
2020-03-08,"BC","Fraser","Fraser East",0,0
2020-03-08,"BC","Fraser","Fraser North",1,0.57
2020-03-08,"BC","Fraser","Fraser South",2,0.71
2020-03-08,"BC","Fraser","Unknown",0,0
2020-03-08,"BC","Interior","All",0,0
2020-03-08,"BC","Interior","East Kootenay",0,0
2020-03-08,"BC","Interior","Kootenay Boundary",0,0
2020-03-08,"BC","Interior","Okanagan",0,0
2020-03-08,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-08,"BC","Northern","All",1,0.14
2020-03-08,"BC","Northern","Northeast",0,0
2020-03-08,"BC","Northern","Northern Interior",0,0
2020-03-08,"BC","Northern","Northwest",1,0.14
2020-03-08,"BC","Northern","Unknown",0,0
2020-03-08,"BC","Vancouver Coastal","All",0,1.71
2020-03-08,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.86
2020-03-08,"BC","Vancouver Coastal","Richmond",0,0
2020-03-08,"BC","Vancouver Coastal","Unknown",0,0
2020-03-08,"BC","Vancouver Coastal","Vancouver",0,0.86
2020-03-08,"BC","Vancouver Island","All",0,0
2020-03-08,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-08,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-08,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-08,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-03-09,"BC","All","All",3,3.57
2020-03-09,"BC","Fraser","All",0,1.29
2020-03-09,"BC","Fraser","Fraser East",0,0
2020-03-09,"BC","Fraser","Fraser North",0,0.57
2020-03-09,"BC","Fraser","Fraser South",0,0.71
2020-03-09,"BC","Fraser","Unknown",0,0
2020-03-09,"BC","Interior","All",0,0
2020-03-09,"BC","Interior","East Kootenay",0,0
2020-03-09,"BC","Interior","Kootenay Boundary",0,0
2020-03-09,"BC","Interior","Okanagan",0,0
2020-03-09,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-09,"BC","Northern","All",1,0.29
2020-03-09,"BC","Northern","Northeast",0,0
2020-03-09,"BC","Northern","Northern Interior",0,0
2020-03-09,"BC","Northern","Northwest",1,0.29
2020-03-09,"BC","Northern","Unknown",0,0
2020-03-09,"BC","Vancouver Coastal","All",2,2
2020-03-09,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,1.14
2020-03-09,"BC","Vancouver Coastal","Richmond",0,0
2020-03-09,"BC","Vancouver Coastal","Unknown",0,0
2020-03-09,"BC","Vancouver Coastal","Vancouver",0,0.86
2020-03-09,"BC","Vancouver Island","All",0,0
2020-03-09,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-09,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-09,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-09,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-03-10,"BC","All","All",10,4.29
2020-03-10,"BC","Fraser","All",5,1.86
2020-03-10,"BC","Fraser","Fraser East",0,0
2020-03-10,"BC","Fraser","Fraser North",1,0.57
2020-03-10,"BC","Fraser","Fraser South",4,1.29
2020-03-10,"BC","Fraser","Unknown",0,0
2020-03-10,"BC","Interior","All",0,0
2020-03-10,"BC","Interior","East Kootenay",0,0
2020-03-10,"BC","Interior","Kootenay Boundary",0,0
2020-03-10,"BC","Interior","Okanagan",0,0
2020-03-10,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-10,"BC","Northern","All",0,0.29
2020-03-10,"BC","Northern","Northeast",0,0
2020-03-10,"BC","Northern","Northern Interior",0,0
2020-03-10,"BC","Northern","Northwest",0,0.29
2020-03-10,"BC","Northern","Unknown",0,0
2020-03-10,"BC","Vancouver Coastal","All",4,2
2020-03-10,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,1.14
2020-03-10,"BC","Vancouver Coastal","Richmond",0,0
2020-03-10,"BC","Vancouver Coastal","Unknown",0,0
2020-03-10,"BC","Vancouver Coastal","Vancouver",3,0.86
2020-03-10,"BC","Vancouver Island","All",1,0.14
2020-03-10,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-10,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-10,"BC","Vancouver Island","South Vancouver Island",1,0.14
2020-03-10,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-03-11,"BC","All","All",16,6.57
2020-03-11,"BC","Fraser","All",3,2.29
2020-03-11,"BC","Fraser","Fraser East",0,0
2020-03-11,"BC","Fraser","Fraser North",3,1
2020-03-11,"BC","Fraser","Fraser South",0,1.29
2020-03-11,"BC","Fraser","Unknown",0,0
2020-03-11,"BC","Interior","All",0,0
2020-03-11,"BC","Interior","East Kootenay",0,0
2020-03-11,"BC","Interior","Kootenay Boundary",0,0
2020-03-11,"BC","Interior","Okanagan",0,0
2020-03-11,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-11,"BC","Northern","All",0,0.29
2020-03-11,"BC","Northern","Northeast",0,0
2020-03-11,"BC","Northern","Northern Interior",0,0
2020-03-11,"BC","Northern","Northwest",0,0.29
2020-03-11,"BC","Northern","Unknown",0,0
2020-03-11,"BC","Vancouver Coastal","All",13,3.86
2020-03-11,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",9,2.43
2020-03-11,"BC","Vancouver Coastal","Richmond",0,0
2020-03-11,"BC","Vancouver Coastal","Unknown",0,0
2020-03-11,"BC","Vancouver Coastal","Vancouver",4,1.43
2020-03-11,"BC","Vancouver Island","All",0,0.14
2020-03-11,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-11,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-11,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-03-11,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-03-12,"BC","All","All",8,7
2020-03-12,"BC","Fraser","All",0,2.14
2020-03-12,"BC","Fraser","Fraser East",0,0
2020-03-12,"BC","Fraser","Fraser North",0,1
2020-03-12,"BC","Fraser","Fraser South",0,1.14
2020-03-12,"BC","Fraser","Unknown",0,0
2020-03-12,"BC","Interior","All",0,0
2020-03-12,"BC","Interior","East Kootenay",0,0
2020-03-12,"BC","Interior","Kootenay Boundary",0,0
2020-03-12,"BC","Interior","Okanagan",0,0
2020-03-12,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-12,"BC","Northern","All",0,0.29
2020-03-12,"BC","Northern","Northeast",0,0
2020-03-12,"BC","Northern","Northern Interior",0,0
2020-03-12,"BC","Northern","Northwest",0,0.29
2020-03-12,"BC","Northern","Unknown",0,0
2020-03-12,"BC","Vancouver Coastal","All",8,4.43
2020-03-12,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",5,2.86
2020-03-12,"BC","Vancouver Coastal","Richmond",1,0.14
2020-03-12,"BC","Vancouver Coastal","Unknown",0,0
2020-03-12,"BC","Vancouver Coastal","Vancouver",2,1.43
2020-03-12,"BC","Vancouver Island","All",0,0.14
2020-03-12,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-12,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-12,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-03-12,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-13,"BC","All","All",16,8.29
2020-03-13,"BC","Fraser","All",1,1.71
2020-03-13,"BC","Fraser","Fraser East",0,0
2020-03-13,"BC","Fraser","Fraser North",0,0.71
2020-03-13,"BC","Fraser","Fraser South",1,1
2020-03-13,"BC","Fraser","Unknown",0,0
2020-03-13,"BC","Interior","All",0,0
2020-03-13,"BC","Interior","East Kootenay",0,0
2020-03-13,"BC","Interior","Kootenay Boundary",0,0
2020-03-13,"BC","Interior","Okanagan",0,0
2020-03-13,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-13,"BC","Northern","All",0,0.29
2020-03-13,"BC","Northern","Northeast",0,0
